"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.833633708E0,-9.482903779E-2,-1.026924029E-1,6.415360570E-1,6.565872284E-1
1.843636708E0,-9.693825990E-2,-1.471895576E-1,6.386497617E-1,6.625219318E-1
1.853639708E0,-1.220497042E-1,-1.527129263E-1,6.398839355E-1,6.690805774E-1
1.863642708E0,-1.559837162E-1,-1.223278493E-1,6.416083574E-1,6.715328039E-1
1.873645708E0,-1.944446564E-1,-3.781001642E-2,6.354280710E-1,6.655878268E-1
1.883647708E0,-2.127320468E-1,1.020059437E-1,6.166282892E-1,6.602201022E-1
1.893650708E0,-2.090291679E-1,2.716663778E-1,5.784807205E-1,6.724104088E-1
1.903653708E0,-1.827221960E-1,4.495285153E-1,5.355241895E-1,7.226682811E-1
1.913656708E0,-1.508814394E-1,5.856020451E-1,4.872784615E-1,7.766178358E-1
1.923659708E0,-1.057571024E-1,6.912683249E-1,4.385449886E-1,8.254442251E-1
1.933662708E0,-6.255576760E-2,7.486290336E-1,3.663374782E-1,8.358000968E-1
1.943664708E0,-1.685352623E-2,7.517853975E-1,3.041646481E-1,8.111605627E-1
1.953667708E0,1.850132272E-2,7.160770893E-1,2.669488490E-1,7.644412239E-1
1.963670708E0,3.218464553E-2,6.298609972E-1,2.158379853E-1,6.665934016E-1
1.973673708E0,3.437277302E-2,5.216894746E-1,1.768235713E-1,5.519130102E-1
1.983676708E0,3.529369459E-2,4.227852821E-1,1.410437375E-1,4.470865415E-1
1.993679708E0,3.108165972E-2,3.469291329E-1,8.215838671E-2,3.578769249E-1
2.003682708E0,1.200969703E-2,2.776688337E-1,2.203326114E-2,2.788004280E-1
2.013684708E0,-2.147755027E-2,1.993717551E-1,-2.666621469E-2,2.022905557E-1
2.023687708E0,-5.307063088E-2,1.214074567E-1,-7.329417020E-2,1.514209292E-1
2.033690708E0,-7.040740550E-2,3.274070844E-2,-1.111797541E-1,1.356100825E-1
2.043693708E0,-5.018442497E-2,-4.526168108E-2,-1.346392781E-1,1.506480384E-1
2.053696708E0,1.189776883E-2,-6.593348086E-2,-1.580484509E-1,1.716627323E-1
2.063699708E0,1.092805117E-1,-4.340101406E-2,-1.803875864E-1,2.153266346E-1
2.073701708E0,1.946055591E-1,-5.034223944E-2,-1.873577684E-1,2.747882787E-1
2.083704708E0,2.268063724E-1,-1.406305879E-1,-2.332070172E-1,3.544059899E-1
2.093707708E0,1.920309365E-1,-2.913204134E-1,-2.509171665E-1,4.297707392E-1
2.103710708E0,8.691118658E-2,-4.869026840E-1,-2.940273583E-1,5.753953992E-1
2.113713708E0,-6.064648181E-2,-6.426744461E-1,-3.557356000E-1,7.370591947E-1
2.123716708E0,-1.991740018E-1,-7.219053507E-1,-4.170340896E-1,8.571668742E-1
2.133718708E0,-2.838365734E-1,-7.849936485E-1,-4.802801013E-1,9.630406037E-1
2.143721708E0,-3.155979514E-1,-8.278849125E-1,-5.429629087E-1,1.039136283E0
2.153724708E0,-3.070591390E-1,-8.290562630E-1,-6.080970764E-1,1.073033856E0
2.163727708E0,-3.033483028E-1,-7.901133895E-1,-6.835910678E-1,1.087932033E0
2.173730708E0,-3.262003660E-1,-7.580453157E-1,-7.522230744E-1,1.116637333E0
2.183733708E0,-3.512212932E-1,-7.967267036E-1,-7.945659757E-1,1.178755669E0
